Index,DTB3Close
2013/01,0.0000269
2013/02,0.0000257
2013/03,0.0000564
2013/04,0.0000426
2013/05,0.0000201
2013/06,0.0000175
2013/07,0.0000044
2013/08,0.0000232
2013/09,0.0000081
2013/10,0.0000251
2013/11,0.0000269
2013/12,0.0000063
2014/01,0.0000119
2014/02,0.0000439
2014/03,0.0000269
2014/04,0.0000169
2014/05,0.0000169
2014/06,0.0000244
2014/07,0.0000251
2014/08,0.00001
2014/09,0.0000056
2014/10,0.0000144
2014/11,0.0000031
2014/12,0.0000088
2015/01,0.0000119
2015/02,0.0000044
2015/03,0.0000132
2015/04,0.0000326
2015/05,0.0000038
2015/06,0.0000031
2015/07,0.0000081
2015/08,0.0000269
2015/09,0.0000188
2015/10,0
2015/11,0.0000188
2015/12,0.0001083
2016/01,0.0000595
2016/02,0.0001954
2016/03,0.0002078
2016/04,0.0001239
2016/05,0.0001245
2016/06,0.0002059
2016/07,0.0001314
2016/08,0.0001852
2016/09,0.0002076
2016/10,0.0001776
2016/11,0.0001388
2016/12,0.0002788
2017/01,0.0003368
2017/02,0.0003498
2017/03,0.000316
2017/04,0.0005712
2017/05,0.0005815
2017/06,0.0006654
2017/07,0.000731
2017/08,0.0008027
2017/09,0.0006944
2017/10,0.0007915
2017/11,0.0008021
2017/12,0.0008368
2018/01,0.0010681
2018/02,0.0010738
2018/03,0.0011506
2018/04,0.0013373
2018/05,0.0013595
2018/06,0.0012886
2018/07,0.0014736
2018/08,0.0015175
2018/09,0.0016098
2018/10,0.001777
2018/11,0.0016814
2018/12,0.0016786
2019/01,0.001874
2019/02,0.0018376
2019/03,0.0020475
2019/04,0.001956
2019/05,0.001928
2019/06,0.0019212
2019/07,0.0017235
2019/08,0.0014701
2019/09,0.0017138
2019/10,0.0014679
2019/11,0.0012531
2019/12,0.0013341
2020/01,0.0011501
2020/02,0.0012287
2020/03,0.0011658
2020/04,0.0000077
2020/05,0.0000661
2020/06,0.0001012
2020/07,0.0000946
2020/08,0.000072
2020/09,0.0000744
2020/10,0.0000643
2020/11,0.000066
2020/12,0.0000619
2021/01,0.0006
2021/02,0.0004
2021/03,0.0003
2021/04,0.0001
2021/05,0.0001
2021/06,0.0005
2021/07,0.0006
2021/08,0.0004
2021/09,0.0004
2021/10,0.0005
2021/11,0.0005
2021/12,0.0006
2022/01,0.0024
2022/02,0.0037
2022/03,0.0051
2022/04,0.0083
2022/05,0.0113
2022/06,0.0166
2022/07,0.0234
2022/08,0.0287
2022/09,0.0322
2022/10,0.0406
2022/11,0.0427
2022/12,0.043
2023/01,0.0458
2023/02,0.0472
2023/03,0.0468
2023/04,0.0495
2023/05,0.0526
2023/06,0.0517
2023/07,0.0528
2023/08,0.0532
2023/09,0.0532
2023/10,0.0533
2023/11,0.0525
2023/12,0.052
