Date,Close,NominalReturn
1973/01,118.4,0.010519338
1973/02,114.2,-0.036834578
1973/03,112.4,-0.018815954
1973/04,110.3,-0.018966997
1973/05,107.2,-0.027848609
1973/06,104.8,-0.021673553
1973/07,105.8,0.014483347
1973/08,103.8,-0.027837573
1973/09,105.6,0.02364806
1973/10,109.8,0.039518142
1973/11,102,-0.06795742
1973/12,94.78,-0.067094114
1974/01,96.11,0.015798968
1974/02,93.45,-0.029117068
1974/03,97.44,0.04091093
1974/04,92.46,-0.044071163
1974/05,89.67,-0.030538799
1974/06,89.79,0.005018469
1974/07,79.31,-0.111497408
1974/08,76.03,-0.040532605
1974/09,68.12,-0.101324842
1974/10,69.44,0.023290952
1974/11,71.74,0.039019844
1974/12,67.07,-0.058410003
1975/01,72.56,0.091526815
1975/02,80.1,0.108567141
1975/03,83.78,0.053942447
1975/04,84.72,0.019179655
1975/05,90.1,0.068686473
1975/06,92.4,0.028785192
1975/07,92.49,0.000959527
1975/08,85.71,-0.064776505
1975/09,84.67,-0.007614136
1975/10,88.57,0.049961992
1975/11,90.07,0.018976925
1975/12,88.7,-0.009762362
1976/01,96.86,0.098918614
1976/02,100.6,0.04314324
1976/03,101.1,0.011148067
1976/04,101.9,0.012275916
1976/05,101.2,-0.005838512
1976/06,101.8,0.008539641
1976/07,104.2,0.025637069
1976/08,103.3,-0.006142127
1976/09,105.5,0.025313418
1976/10,101.9,-0.031606546
1976/11,101.2,-0.001349433
1976/12,104.7,0.038319598
1977/01,103.8,-0.00619024
1977/02,101,-0.028761207
1977/03,100.6,-0.002008063
1977/04,99.05,-0.014507579
1977/05,98.76,0.001153145
1977/06,99.29,0.007945392
1977/07,100.2,0.013403257
1977/08,97.75,-0.018591368
1977/09,96.23,-0.009594593
1977/10,93.74,-0.019929685
1977/11,94.28,0.010405297
1977/12,93.82,0.001450186
1978/01,90.25,-0.034521484
1978/02,88.98,-0.010771198
1978/03,88.82,9.42E-05
1978/04,92.71,0.045393102
1978/05,97.41,0.050888363
1978/06,97.66,0.001935524
1978/07,97.19,-0.001992876
1978/08,103.9,0.074746306
1978/09,103.9,0.003148736
1978/10,100.6,-0.029263322
1978/11,94.71,-0.051452827
1978/12,96.11,0.021947328
1979/01,99.71,0.040160562
1979/02,98.23,-0.014123983
1979/03,100.1,0.021230939
1979/04,102.1,0.021084385
1979/05,99.73,-0.022618781
1979/06,101.7,0.021533358
1979/07,102.7,0.012088765
1979/08,107.4,0.049580311
1979/09,108.6,0.014183182
1979/10,104.5,-0.03165837
1979/11,103.7,-0.002433622
1979/12,107.8,0.043643056
1980/01,110.9,0.029467301
1980/02,115.3,0.040554523
1980/03,104.7,-0.089872719
1980/04,103,-0.01104836
1980/05,107.7,0.051404389
1980/06,114.6,0.068295578
1980/07,119.8,0.060061749
1980/08,123.5,0.037763348
1980/09,126.5,0.029756176
1980/10,130.2,0.033581965
1980/11,135.7,0.047575442
1980/12,133.5,-0.011708376
1981/01,133,0.001435262
1981/02,128.4,-0.03155932
1981/03,133.2,0.04274343
1981/04,134.4,0.014113735
1981/05,131.7,-0.016013225
1981/06,132.3,0.007324996
1981/07,129.1,-0.022278413
1981/08,129.6,0.008994863
1981/09,118.3,-0.083155607
1981/10,119.8,0.023202069
1981/11,122.9,0.03482458
1981/12,123.8,0.015736865
1982/01,117.3,-0.044312552
1982/02,114.5,-0.016088021
1982/03,110.8,-0.020912991
1982/04,116.3,0.055539314
1982/05,116.4,0.001674041
1982/06,109.7,-0.058699801
1982/07,109.4,0.002523144
1982/08,109.7,0.010635935
1982/09,122.4,0.122792148
1982/10,132.7,0.089677181
1982/11,138.1,0.050882114
1982/12,139.4,0.020849748
1983/01,144.3,0.040181779
1983/02,146.8,0.023126142
1983/03,151.9,0.041613617
1983/04,157.7,0.037774334
1983/05,164.1,0.040839907
1983/06,166.4,0.016594963
1983/07,167,0.005087445
1983/08,162.4,-0.024876076
1983/09,167.2,0.030371471
1983/10,167.7,0.005850237
1983/11,165.2,-0.010671886
1983/12,164.4,0.000853496
1984/01,166.4,0.013221669
1984/02,157.3,-0.051988004
1984/03,157.4,0.006396788
1984/04,157.6,0.003946509
1984/05,156.6,-0.001935354
1984/06,153.1,-0.017848225
1984/07,151.1,-0.009441626
1984/08,164.4,0.09140597
1984/09,166.1,0.012743173
1984/10,164.8,-0.00345581
1984/11,166.3,0.016199342
1984/12,164.5,-0.003818047
1985/01,171.6,0.047910245
1985/02,180.9,0.055788099
1985/03,179.4,-0.005469479
1985/04,180.6,0.008555009
1985/05,184.9,0.026628825
1985/06,188.9,0.025344823
1985/07,192.5,0.023504617
1985/08,188.3,-0.017507259
1985/09,184.1,-0.018971039
1985/10,186.2,0.01388148
1985/11,197.5,0.064167094
1985/12,207.3,0.05317525
1986/01,208.2,0.007957773
1986/02,219.4,0.062447672
1986/03,232.3,0.068583239
1986/04,238,0.030631619
1986/05,238.5,0.00339345
1986/06,245.3,0.027150254
1986/07,240.2,-0.016719658
1986/08,245,0.022261168
1986/09,238.3,-0.027523084
1986/10,237.4,-0.000580287
1986/11,245.1,0.035461628
1986/12,248.6,0.017084956
1987/01,264.5,0.061233801
1987/02,280.9,0.062546113
1987/03,292.5,0.041607596
1987/04,289.3,-0.010732433
1987/05,289.1,0.001361233
1987/06,301.4,0.044313235
1987/07,310.1,0.031730318
1987/08,329.4,0.062471428
1987/09,318.7,-0.03179254
1987/10,280.2,-0.117118005
1987/11,245,-0.120081215
1987/12,241,-0.009707651
1988/01,250.5,0.043089821
1988/02,258.1,0.03385647
1988/03,265.7,0.031118514
1988/04,262.6,-0.01071288
1988/05,256.1,-0.021997353
1988/06,270.7,0.058766191
1988/07,269.1,-0.00387393
1988/08,263.7,-0.018000086
