Index,DTB3Close
1973/01,0.00437
1973/02,0.00415
1973/03,0.004558
1973/04,0.005211
1973/05,0.005077
1973/06,0.005144
1973/07,0.006393
1973/08,0.006997
1973/09,0.006821
1973/10,0.006522
1973/11,0.005577
1973/12,0.00638
1974/01,0.006264
1974/02,0.005812
1974/03,0.005575
1974/04,0.007543
1974/05,0.007535
1974/06,0.006024
1974/07,0.007048
1974/08,0.005953
1974/09,0.008069
1974/10,0.005053
1974/11,0.00539
1974/12,0.006976
1975/01,0.005824
1975/02,0.004348
1975/03,0.004135
1975/04,0.004377
1975/05,0.004356
1975/06,0.004089
1975/07,0.004846
1975/08,0.004805
1975/09,0.005267
1975/10,0.005555
1975/11,0.004098
1975/12,0.004849
1976/01,0.004681
1976/02,0.003373
1976/03,0.004017
1976/04,0.004194
1976/05,0.003744
1976/06,0.004348
1976/07,0.004656
1976/08,0.004208
1976/09,0.004368
1976/10,0.004084
1976/11,0.003963
1976/12,0.004043
1977/01,0.003594
1977/02,0.003514
1977/03,0.003764
1977/04,0.003755
1977/05,0.003714
1977/06,0.003986
1977/07,0.00417
1977/08,0.004415
1977/09,0.004333
1977/10,0.004927
1977/11,0.005001
1977/12,0.004867
1978/01,0.004894
1978/02,0.004598
1978/03,0.005288
1978/04,0.005357
1978/05,0.005088
1978/06,0.005369
1978/07,0.005591
1978/08,0.00555
1978/09,0.006189
1978/10,0.006806
1978/11,0.006999
1978/12,0.007824
1979/01,0.007716
1979/02,0.007338
1979/03,0.008132
1979/04,0.007958
1979/05,0.00816
1979/06,0.008104
1979/07,0.007658
1979/08,0.007671
1979/09,0.008291
1979/10,0.008725
1979/11,0.00987
1979/12,0.009512
1980/01,0.007968
1980/02,0.008858
1980/03,0.012054
1980/04,0.012556
1980/05,0.008095
1980/06,0.006112
1980/07,0.005281
1980/08,0.006388
1980/09,0.007534
1980/10,0.009505
1980/11,0.00957
1980/12,0.013068
1981/01,0.01037
1981/02,0.010691
1981/03,0.012077
1981/04,0.010756
1981/05,0.011544
1981/06,0.013475
1981/07,0.012398
1981/08,0.012804
1981/09,0.012441
1981/10,0.012054
1981/11,0.010676
1981/12,0.008738
1982/01,0.007958
1982/02,0.009238
1982/03,0.009802
1982/04,0.011292
1982/05,0.010586
1982/06,0.009573
1982/07,0.010507
1982/08,0.007623
1982/09,0.005118
1982/10,0.005901
1982/11,0.006342
1982/12,0.006738
1983/01,0.006864
1983/02,0.006186
1983/03,0.006326
1983/04,0.00714
1983/05,0.006907
1983/06,0.006661
1983/07,0.007402
1983/08,0.007616
1983/09,0.007607
1983/10,0.007611
1983/11,0.007035
1983/12,0.007269
1984/01,0.007589
1984/02,0.007137
1984/03,0.00728
1984/04,0.008139
1984/05,0.007837
1984/06,0.007534
1984/07,0.008185
1984/08,0.008306
1984/09,0.008589
1984/10,0.009957
1984/11,0.007334
1984/12,0.006426
1985/01,0.006474
1985/02,0.005781
1985/03,0.00616
1985/04,0.007162
1985/05,0.006634
1985/06,0.005546
1985/07,0.006246
1985/08,0.005502
1985/09,0.006049
1985/10,0.006488
1985/11,0.006082
1985/12,0.006504
1986/01,0.00559
1986/02,0.005296
1986/03,0.005954
1986/04,0.005208
1986/05,0.004934
1986/06,0.005246
1986/07,0.0052
1986/08,0.0046
1986/09,0.0045
1986/10,0.004645
1986/11,0.003904
1986/12,0.004874
1987/01,0.004151
1987/02,0.004314
1987/03,0.004706
1987/04,0.004441
1987/05,0.00376
1987/06,0.004819
1987/07,0.004573
1987/08,0.004711
1987/09,0.004521
1987/10,0.005973
1987/11,0.003452
1987/12,0.003914
1988/01,0.002942
1988/02,0.004556
1988/03,0.004407
1988/04,0.004616
1988/05,0.005053
1988/06,0.004853
1988/07,0.005072
1988/08,0.005938
1988/09,0.006167
1988/10,0.006101
1988/11,0.005662
1988/12,0.006341
1989/01,0.005514
1989/02,0.006131
1989/03,0.006706
1989/04,0.006748
1989/05,0.007873
1989/06,0.007093
1989/07,0.006955
1989/08,0.007392
1989/09,0.006545
1989/10,0.006765
1989/11,0.006866
1989/12,0.006069
1990/01,0.00567
1990/02,0.005679
1990/03,0.006441
1990/04,0.006873
1990/05,0.006771
1990/06,0.006251
1990/07,0.006771
1990/08,0.006572
1990/09,0.005984
1990/10,0.006818
1990/11,0.005651
1990/12,0.005989
1991/01,0.005177
1991/02,0.004767
1991/03,0.004391
1991/04,0.005335
1991/05,0.004721
1991/06,0.004171
1991/07,0.004884
1991/08,0.00461
1991/09,0.004558
1991/10,0.004246
1991/11,0.003915
1991/12,0.003792
1992/01,0.003391
1992/02,0.002828
1992/03,0.003376
1992/04,0.003249
1992/05,0.002758
1992/06,0.003201
1992/07,0.003077
1992/08,0.002605
1992/09,0.002573
1992/10,0.002286
1992/11,0.002346
1992/12,0.002823
1993/01,0.002335
1993/02,0.002209
1993/03,0.002538
1993/04,0.002372
1993/05,0.002168
1993/06,0.002538
1993/07,0.002402
1993/08,0.002504
1993/09,0.002562
1993/10,0.00221
1993/11,0.002491
1993/12,0.002263
1994/01,0.002503
1994/02,0.00212
1994/03,0.002695
1994/04,0.002711
1994/05,0.00315
1994/06,0.003118
1994/07,0.002751
1994/08,0.003687
1994/09,0.003659
1994/10,0.00384
1994/11,0.003691
1994/12,0.00443
1995/01,0.004156
1995/02,0.003983
1995/03,0.004619
1995/04,0.00445
1995/05,0.005355
1995/06,0.004714
1995/07,0.004522
1995/08,0.004664
1995/09,0.004309
1995/10,0.004714
1995/11,0.004201
1995/12,0.004882
1996/01,0.004278
1996/02,0.003908
1996/03,0.003943
1996/04,0.004579
1996/05,0.004232
1996/06,0.004
1996/07,0.004497
1996/08,0.004122
1996/09,0.004375
1996/10,0.004246
1996/11,0.004068
1996/12,0.004621
1997/01,0.004504
1997/02,0.003859
1997/03,0.004291
1997/04,0.004308
1997/05,0.004934
1997/06,0.003692
1997/07,0.004289
1997/08,0.004108
1997/09,0.00444
